platform,account_id,campaign_id,campaign_name,vertical,objective,funnel_stage,currency,brand_strength_latent,landing_quality_latent,pixel_health_latent,start_date,end_date
Meta,act_3746317213,C_CT2CXIFS,FinTech | Engagement | TOF | 01,FinTech,Engagement,TOF,SAR,0.638,0.635,0.698,2025-11-01,2025-12-30
Meta,act_3746317213,C_GX8WDZRM,E-commerce | Engagement | TOF | 02,E-commerce,Engagement,TOF,SAR,0.493,0.579,0.734,2025-11-01,2025-12-30
Meta,act_3746317213,C_57TCOZDA,Travel & Hospitality | Traffic | TOF | 03,Travel & Hospitality,Traffic,TOF,SAR,0.581,0.698,0.726,2025-11-01,2025-12-30
Meta,act_3746317213,C_D2GVF6LC,Travel & Hospitality | Engagement | MOF | 04,Travel & Hospitality,Engagement,MOF,SAR,0.667,0.865,0.7,2025-11-01,2025-12-30
Meta,act_3746317213,C_GVJICS4I,Apps | Engagement | MOF | 05,Apps,Engagement,MOF,USD,0.538,0.593,0.673,2025-11-01,2025-12-30
Meta,act_3746317213,C_VRHX1Z2Y,FinTech | Leads | MOF | 06,FinTech,Leads,MOF,JOD,0.877,0.509,0.58,2025-11-01,2025-12-30
Meta,act_3746317213,C_00EIUE23,Apps | Traffic | TOF | 07,Apps,Traffic,TOF,SAR,0.937,0.594,0.709,2025-11-01,2025-12-30
Meta,act_3746317213,C_2PJGDSY0,Travel & Hospitality | Leads | MOF | 08,Travel & Hospitality,Leads,MOF,AED,0.581,0.505,0.787,2025-11-01,2025-12-30
Meta,act_3746317213,C_85T4BXVH,Education | Traffic | BOF | 09,Education,Traffic,BOF,USD,0.699,0.69,0.789,2025-11-01,2025-12-30
Meta,act_3746317213,C_AVSMLZ16,FinTech | Sales | MOF | 10,FinTech,Sales,MOF,USD,0.712,0.678,0.777,2025-11-01,2025-12-30
Google Ads,126855092,C_8DE4CS0L,Travel & Hospitality | Performance Max | MOF | 01,Travel & Hospitality,Performance Max,MOF,JOD,0.729,0.643,0.765,2025-11-01,2025-12-30
Google Ads,126855092,C_QNVF2XF8,Apps | Leads | TOF | 02,Apps,Leads,TOF,AED,0.661,0.589,0.787,2025-11-01,2025-12-30
Google Ads,126855092,C_FZYY94DA,Apps | Leads | TOF | 03,Apps,Leads,TOF,JOD,0.457,0.488,0.601,2025-11-01,2025-12-30
Google Ads,126855092,C_RTR5JEK1,FinTech | Performance Max | MOF | 04,FinTech,Performance Max,MOF,JOD,0.748,0.504,0.713,2025-11-01,2025-12-30
Google Ads,126855092,C_2XZ36JWB,Education | Sales | MOF | 05,Education,Sales,MOF,JOD,0.755,0.29,0.55,2025-11-01,2025-12-30
Google Ads,126855092,C_XJ6Y0IY1,Travel & Hospitality | Performance Max | BOF | 06,Travel & Hospitality,Performance Max,BOF,SAR,0.821,0.804,0.726,2025-11-01,2025-12-30
Google Ads,126855092,C_K2WNJ02N,E-commerce | Sales | TOF | 07,E-commerce,Sales,TOF,USD,0.777,0.591,0.98,2025-11-01,2025-12-30
Google Ads,126855092,C_JA0BO8WA,FinTech | Sales | BOF | 08,FinTech,Sales,BOF,JOD,0.65,0.579,0.828,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_R8DOYWLL,Travel & Hospitality | Traffic | BOF | 01,Travel & Hospitality,Traffic,BOF,AED,0.495,0.614,0.767,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_A1FS4MGB,Travel & Hospitality | Leads | BOF | 02,Travel & Hospitality,Leads,BOF,AED,0.457,0.55,0.774,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_Y9Z9UR73,E-commerce | Video Views | TOF | 03,E-commerce,Video Views,TOF,JOD,0.828,0.666,0.656,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_LMMDPC3D,FinTech | Leads | MOF | 04,FinTech,Leads,MOF,AED,0.684,0.519,0.73,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_ULF5VLUD,E-commerce | Video Views | MOF | 05,E-commerce,Video Views,MOF,SAR,0.478,0.721,0.578,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_Q7MW0SKC,Retail | Video Views | TOF | 06,Retail,Video Views,TOF,JOD,0.703,0.557,0.86,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_Z0C99AFT,Retail | Leads | BOF | 07,Retail,Leads,BOF,JOD,0.758,0.445,0.59,2025-11-01,2025-12-30
TikTok,tt_8479902459,C_9O9YP6SD,Education | Video Views | MOF | 08,Education,Video Views,MOF,AED,0.725,0.443,0.789,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_ECEW6GST,Retail | Sales | MOF | 01,Retail,Sales,MOF,JOD,0.654,0.311,0.707,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_X6APK6I2,Travel & Hospitality | Leads | BOF | 02,Travel & Hospitality,Leads,BOF,SAR,0.701,0.95,0.843,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_XGJ1QQ81,Retail | Traffic | BOF | 03,Retail,Traffic,BOF,AED,0.594,0.649,0.913,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_XU5R5L6R,Education | Leads | BOF | 04,Education,Leads,BOF,SAR,0.636,0.662,0.745,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_XX99QWB0,E-commerce | Traffic | BOF | 05,E-commerce,Traffic,BOF,SAR,0.675,0.411,0.738,2025-11-01,2025-12-30
Snapchat,sc_2051802512,C_8BLGSRI2,Apps | Sales | TOF | 06,Apps,Sales,TOF,USD,0.771,0.779,0.52,2025-11-01,2025-12-30
